param_count_m,architecture_family,task_type,model_flops_g,input_resolution,precision,batch_size,device_type,compute_tflops,memory_bandwidth_gbs,vram_or_ram_gb,hw_class,framework,roofline_ms_per_image,ram_pressure_ratio,ms_per_image,sample_weight,source
44.0,cnn,detection,120.83837616730888,416,fp16,1,cpu,0.6,300.0,8.0,cpu_4thread,coreml,607.1918808365444,3.2004486617175356,527.6288494224166,1.0,synthetic
25.0,transformer,segmentation,75.24541993025575,768,fp16,1,gpu,150.0,300.0,8.0,datacenter_low,pytorch,65.78968678841052,3.4898714421895143,89.46567550032879,1.0,synthetic
5.0,cnn,classification,1.780977736545604,256,int8,1,gpu,700.0,300.0,8.0,datacenter,coreml,11.904888682728021,2.456944341142818,11.540865091970627,1.0,synthetic
25.0,hybrid,classification,8.30328204380011,384,fp32,1,gpu,700.0,300.0,8.0,datacenter,coreml,44.51641021900055,3.1147193255486005,30.345022650499676,1.0,synthetic
44.0,transformer,classification,13.521386227821191,224,fp16,1,cpu,0.15,300.0,8.0,cpu_1thread,coreml,70.60693113910595,4.310091406104549,77.88485619867048,1.0,synthetic
100.0,transformer,segmentation,308.777348204312,512,int8,1,cpu,0.15,300.0,8.0,cpu_1thread,tensorrt,1546.8867410215598,4.32025463271609,1321.5347005466624,1.0,synthetic
44.0,cnn,classification,13.819051363246968,224,fp32,1,cpu,0.15,300.0,8.0,cpu_1thread,tensorrt,72.09525681623484,4.717865629248148,49.07521457805329,1.0,synthetic
44.0,cnn,segmentation,118.29417135741858,512,int8,1,cpu,0.6,300.0,8.0,cpu_4thread,coreml,594.4708567870929,2.6446135215474036,428.93053381049623,1.0,synthetic
11.0,transformer,classification,4.449208213783008,384,fp32,1,cpu,0.15,300.0,8.0,cpu_1thread,tensorrt,25.24604106891504,3.572217339520113,23.035874653934112,1.0,synthetic
150.0,hybrid,classification,61.21113549106459,256,fp32,1,cpu,0.15,300.0,8.0,cpu_1thread,tflite,309.05567745532295,4.9201375873253514,418.4904254674019,1.0,synthetic
5.0,transformer,detection,14.477849026616317,416,fp32,1,gpu,9.0,300.0,8.0,consumer_low,coreml,75.38924513308159,3.2356948928298093,69.36476416455369,1.0,synthetic
25.0,hybrid,segmentation,53.907984432952226,768,int8,1,gpu,9.0,300.0,8.0,consumer_low,coreml,272.53992216476115,3.215677348788002,275.4391586678698,1.0,synthetic
100.0,hybrid,classification,28.559050649718532,256,fp16,1,gpu,25.0,300.0,8.0,consumer_mid,pytorch,125.2050441846653,2.984926131073736,109.2727954233362,1.0,synthetic
25.0,transformer,detection,91.84153589140453,416,fp16,1,gpu,65.0,300.0,8.0,consumer_flagship,tensorrt,462.20767945702266,4.238798183996615,540.8813154812204,1.0,synthetic
44.0,hybrid,segmentation,101.5431954287406,512,int8,1,cpu,0.15,300.0,8.0,cpu_1thread,tflite,510.715977143703,3.172107652064328,539.8229750299188,1.0,synthetic
11.0,hybrid,segmentation,31.64395518991245,512,int8,1,cpu,1.0,300.0,8.0,cpu_modern_mt,pytorch,161.21977594956226,3.335884317125631,144.42317114530047,1.0,synthetic
5.0,transformer,classification,1.6422016890805935,224,int8,1,cpu,0.6,300.0,8.0,cpu_4thread,tensorrt,11.211008445402967,2.353330429810561,18.217993063132056,1.0,synthetic
100.0,transformer,segmentation,213.17578844521185,768,fp16,1,cpu,1.0,300.0,8.0,cpu_modern_mt,coreml,1068.8789422260593,3.5723346236808653,971.7072163617862,1.0,synthetic
25.0,hybrid,detection,65.05073373068409,416,fp32,1,gpu,25.0,300.0,8.0,consumer_mid,tflite,328.25366865342045,3.0847707992609297,444.5691522140388,1.0,synthetic
150.0,hybrid,classification,61.581458842693515,256,fp32,1,gpu,9.0,300.0,8.0,consumer_low,onnxruntime,310.9072942134676,3.8918254149518283,303.2703892008299,1.0,synthetic
44.0,transformer,classification,18.07439691776492,224,fp32,1,gpu,700.0,300.0,8.0,datacenter,onnxruntime,93.37198458882459,2.6934541026880314,82.86342883890501,1.0,synthetic
5.0,cnn,detection,15.32269090933444,832,fp32,1,cpu,0.15,300.0,8.0,cpu_1thread,onnxruntime,46.86950261886444,2.510320646036228,50.64268475548987,1.0,synthetic
